,Index,Variant,Location,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
0,94,Estimates,Afghanistan,4,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.4689,7.482,7.6537,7.1816,6.3712,5.2552
1,159,Estimates,Albania,8,6.23,6.5462,6.23,5.259,4.6001,3.9,3.409,3.15,2.786,2.3841,1.9465,1.64,1.7135
2,46,Estimates,Algeria,12,7.278,7.384,7.648,7.648,7.572,7.175,6.315,5.302,4.12,2.885,2.3843,2.724,2.96
3,36,Estimates,Angola,24,7.3,7.35,7.6,7.6,7.6,7.6,7.4,7.35,7.1,6.75,6.55,6.35,5.95
4,181,Estimates,Antigua and Barbuda,28,4.5,4.5,4.3,4.0,3.2617,2.2357,2.1392,2.0708,2.0938,2.3125,2.2714,2.1694,2.0963
5,208,Estimates,Argentina,32,3.154,3.1265,3.0895,3.049,3.1455,3.44,3.15,3.053,2.9,2.63,2.515,2.4,2.345
6,116,Estimates,Armenia,51,4.494,4.9,4.453,3.447,3.037,2.6,2.5,2.6,2.38,1.75,1.65,1.72,1.65
7,182,Estimates,Aruba,533,5.65,5.15,4.399,3.301,2.651,2.45,2.358,2.3,2.1739,1.9531,1.8162,1.76,1.8
8,226,Estimates,Australia,36,3.18,3.406,3.274,2.871,2.535,1.989,1.91,1.859,1.8628,1.7866,1.7739,1.9525,1.885
9,172,Estimates,Austria,40,2.1046,2.5652,2.7777,2.5689,2.0369,1.6513,1.5957,1.448,1.4837,1.3879,1.3796,1.3993,1.4488
10,117,Estimates,Azerbaijan,31,5.2,5.6,6.0,5.4,4.6,3.8,3.3,3.2,2.9,2.25,1.9,1.83,2.1
11,183,Estimates,Bahamas,44,4.05,4.31,4.5,3.5756,3.5367,2.9547,3.0503,2.6498,2.6376,2.3275,1.8653,1.9076,1.81
12,118,Estimates,Bahrain,48,6.97,6.97,7.17,6.97,5.95,5.23,4.63,4.08,3.4,2.95,2.65,2.25,2.12
13,95,Estimates,Bangladesh,50,6.359,6.6225,6.804,6.9206,6.9098,6.6301,5.9773,4.9834,4.0603,3.4325,2.9364,2.4811,2.2208
14,184,Estimates,Barbados,52,4.417,4.2969,4.2731,3.5328,2.7176,2.1568,1.9181,1.7744,1.73,1.74,1.75,1.77,1.79
15,136,Estimates,Belarus,112,2.61,2.73,2.59,2.28,2.25,2.09,2.088,2.0754,1.6769,1.3113,1.2551,1.4268,1.64
16,173,Estimates,Belgium,56,2.365,2.496,2.6466,2.3881,2.0143,1.7049,1.5959,1.56,1.6119,1.6041,1.6836,1.821,1.7807
17,199,Estimates,Belize,84,6.65,6.55,6.45,6.35,6.25,6.2,5.4,4.7,4.347,3.85,3.35,2.84,2.64
18,60,Estimates,Benin,204,5.857,6.1341,6.4228,6.6491,6.8349,6.9952,7.0087,6.8818,6.5629,6.1566,5.7841,5.4949,5.2202
19,96,Estimates,Bhutan,64,6.67,6.67,6.67,6.67,6.67,6.67,6.3885,6.1064,5.0703,4.1287,3.1436,2.6187,2.2
20,209,Estimates,Bolivia (Plurinational State of),68,6.89,6.772,6.614,6.409,6.15,5.89,5.514,5.085,4.7039,4.2892,3.8184,3.3907,3.0424
21,160,Estimates,Bosnia and Herzegovina,70,4.82,3.97,3.683,3.1372,2.7332,2.27,2.02,1.861,1.703,1.68,1.318,1.312,1.314
22,54,Estimates,Botswana,72,6.5,6.575,6.65,6.7,6.55,6.35,5.95,4.9,4.25,3.675,3.15,2.9,2.875
23,210,Estimates,Brazil,76,6.1,6.05,6.0,5.37,4.68,4.28,3.82,3.16,2.72,2.47,2.13,1.86,1.78
24,104,Estimates,Brunei Darussalam,96,6.8958,6.8912,6.6631,5.8985,5.4949,4.4501,3.7903,3.4679,3.0786,2.5076,1.9886,1.8,1.9
25,137,Estimates,Bulgaria,100,2.5264,2.2969,2.2171,2.1304,2.1573,2.1927,2.0149,1.9458,1.5527,1.2008,1.2404,1.45,1.506
26,61,Estimates,Burkina Faso,854,6.1035,6.243,6.35,6.5627,6.7,7.0182,7.1722,7.0658,6.932,6.7293,6.4306,6.0789,5.6462
27,15,Estimates,Burundi,108,6.801,6.857,7.071,7.268,7.3,7.436,7.4,7.55,7.4,7.15,6.85,6.5,6.0
28,62,Estimates,Cabo Verde,132,6.5663,6.764,6.9728,6.9654,6.8639,6.615,6.1,5.6344,4.9303,4.1449,3.4183,2.887,2.497
29,105,Estimates,Cambodia,116,6.947,6.947,6.947,6.7034,6.16,5.421,6.37,5.9896,5.1276,4.25,3.44,3.0813,2.7
30,37,Estimates,Cameroon,120,5.489,5.527,5.805,6.085,6.307,6.5,6.702,6.598,6.217,5.75,5.45,5.25,4.95
31,222,Estimates,Canada,124,3.645,3.882,3.675,2.61,1.976,1.734,1.634,1.616,1.694,1.562,1.516,1.636,1.61
32,38,Estimates,Central African Republic,140,5.516,5.75,5.9,5.95,5.95,5.95,5.95,5.9,5.7,5.55,5.45,5.3,5.1
33,39,Estimates,Chad,148,6.1,6.2,6.3,6.4,6.671,6.874,7.037,7.212,7.388,7.407,7.237,6.853,6.31
34,211,Estimates,Chile,152,5.1461,5.1664,4.9521,4.442,3.5774,2.9461,2.6992,2.6424,2.4271,2.2054,2.0293,1.944,1.8199
35,78,Estimates,China,156,6.025,5.4,6.2,6.25,4.77,3.0,2.55,2.725,1.895,1.51,1.55,1.58,1.6
36,79,Estimates,"China, Hong Kong SAR",344,4.44,4.72,5.05,3.645,3.01,2.23,1.715,1.3562,1.26,1.06,0.95,1.0362,1.2045
