,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
111,70,High variant,Mauritania,478,4.826,4.6931,4.5308,4.2937,4.0843,3.8966,3.729,3.5817,3.4531,3.3378,3.2308,3.1323,3.0462,2.9683,2.8872,2.8169,2.7481
112,23,High variant,Mauritius,480,1.6834,1.8296,1.9713,2.0128,2.0508,2.0876,2.1184,2.1466,2.1716,2.1919,2.2103,2.2258,2.2402,2.2529,2.2629,2.2701,2.2787
113,24,High variant,Mayotte,175,3.9789,3.8238,3.6724,3.4613,3.2796,3.121,2.9775,2.8498,2.7358,2.6332,2.5494,2.4799,2.4254,2.3837,2.3522,2.3326,2.3195
114,204,High variant,Mexico,484,2.3864,2.4037,2.3934,2.3147,2.2611,2.2311,2.2157,2.2142,2.2147,2.223,2.2303,2.2396,2.2494,2.2578,2.267,2.274,2.2799
115,237,High variant,Micronesia (Fed. States of),583,3.3263,3.268,3.1981,3.0536,2.9311,2.8245,2.7294,2.6459,2.5737,2.5116,2.4576,2.4134,2.38,2.3542,2.3348,2.3219,2.3112
116,84,High variant,Mongolia,496,2.9127,2.9217,2.9075,2.8114,2.733,2.6693,2.6178,2.5745,2.541,2.5125,2.4901,2.472,2.4572,2.4424,2.4323,2.4231,2.4165
117,165,High variant,Montenegro,499,1.9065,2.0352,2.1375,2.1458,2.159,2.1721,2.1871,2.2015,2.214,2.2268,2.2386,2.2488,2.2583,2.2669,2.2746,2.2812,2.2872
118,49,High variant,Morocco,504,2.6747,2.6832,2.6691,2.5761,2.5009,2.4413,2.3942,2.3608,2.3383,2.3221,2.3108,2.3045,2.3022,2.3004,2.3006,2.3015,2.3038
119,25,High variant,Mozambique,508,5.3929,5.2306,5.0228,4.7248,4.4395,4.1772,3.9373,3.7244,3.5394,3.3761,3.2377,3.117,3.0134,2.9202,2.8361,2.765,2.6916
120,109,High variant,Myanmar,104,2.4329,2.4787,2.4951,2.4235,2.3708,2.3299,2.302,2.2844,2.2734,2.2682,2.2665,2.2687,2.2716,2.2763,2.2804,2.2849,2.289
121,56,High variant,Namibia,516,3.561,3.4758,3.3819,3.2174,3.0764,2.9553,2.8458,2.7478,2.6612,2.5856,2.521,2.4688,2.4293,2.3953,2.37,2.3524,2.3394
122,100,High variant,Nepal,524,2.3325,2.3343,2.3339,2.2628,2.2162,2.192,2.1822,2.184,2.1908,2.2006,2.2122,2.2224,2.2338,2.2441,2.2538,2.2624,2.2696
123,177,High variant,Netherlands,528,1.9999,2.1642,2.2769,2.2864,2.2953,2.3034,2.3077,2.3137,2.317,2.3213,2.324,2.3266,2.3292,2.3317,2.3323,2.3334,2.3348
124,230,High variant,New Caledonia,540,2.3918,2.4541,2.4873,2.4324,2.3902,2.3597,2.3387,2.324,2.3165,2.3108,2.3077,2.3073,2.3084,2.3098,2.31,2.3108,2.3131
125,227,High variant,New Zealand,554,2.2242,2.3253,2.3859,2.3544,2.3323,2.3155,2.3024,2.2967,2.2916,2.2899,2.2914,2.2937,2.2942,2.2962,2.2986,2.3021,2.3053
126,205,High variant,Nicaragua,558,2.4106,2.4294,2.4305,2.3491,2.2939,2.2558,2.233,2.2246,2.2209,2.2254,2.2309,2.2363,2.2457,2.2537,2.2619,2.2689,2.2759
127,71,High variant,Niger,562,7.4029,7.2251,6.9349,6.52,6.101,5.689,5.2919,4.9181,4.5751,4.2656,3.9855,3.7546,3.544,3.3692,3.2193,3.0888,2.9755
128,72,High variant,Nigeria,566,5.6668,5.479,5.2406,4.9124,4.6018,4.3148,4.0542,3.8235,3.6156,3.4429,3.2963,3.1646,3.0486,2.9468,2.8606,2.7796,2.706
129,155,High variant,Norway,578,2.0775,2.2335,2.3385,2.3429,2.346,2.3492,2.3522,2.3549,2.3567,2.3584,2.3597,2.3607,2.3619,2.3611,2.3627,2.3627,2.3626
130,126,High variant,Oman,512,2.7873,2.6842,2.5894,2.4468,2.3396,2.2709,2.2359,2.2227,2.2253,2.2324,2.24,2.2471,2.2562,2.2645,2.2714,2.2783,2.2858
131,101,High variant,Pakistan,586,3.6267,3.4988,3.3772,3.1945,3.0438,2.9144,2.8047,2.7069,2.6214,2.5477,2.4846,2.4367,2.399,2.3701,2.3458,2.3297,2.3193
132,206,High variant,Panama,591,2.7188,2.7548,2.7579,2.6701,2.5941,2.5337,2.4812,2.4374,2.4035,2.3799,2.36,2.3468,2.3381,2.3317,2.3275,2.3244,2.3219
133,231,High variant,Papua New Guinea,598,3.8383,3.7686,3.6772,3.5157,3.3759,3.2539,3.142,3.0458,2.9567,2.8734,2.7984,2.7263,2.6618,2.6028,2.5495,2.505,2.467
134,216,High variant,Paraguay,600,2.6955,2.7213,2.7169,2.6259,2.5519,2.4846,2.4302,2.3862,2.3513,2.3247,2.3056,2.294,2.2867,2.2805,2.2778,2.2782,2.279
135,217,High variant,Peru,604,2.6036,2.6262,2.6155,2.5214,2.4442,2.3842,2.337,2.3026,2.2813,2.2691,2.262,2.2585,2.2587,2.2613,2.2647,2.27,2.2746
136,110,High variant,Philippines,608,3.1323,3.1357,3.1046,2.9929,2.8897,2.7956,2.7129,2.637,2.5655,2.5069,2.4579,2.4194,2.3878,2.3624,2.344,2.3304,2.3198
137,140,High variant,Poland,616,1.5397,1.6965,1.8564,1.9139,1.9683,2.0154,2.0589,2.0951,2.1285,2.1546,2.1778,2.1981,2.2148,2.2306,2.2419,2.2524,2.2612
138,166,High variant,Portugal,620,1.4908,1.6482,1.8124,1.8759,1.9343,1.9875,2.0362,2.0766,2.1131,2.1418,2.1684,2.1897,2.2083,2.223,2.236,2.2479,2.2571
139,193,High variant,Puerto Rico,630,1.7195,1.8541,1.9799,2.013,2.0459,2.0789,2.1078,2.1349,2.1583,2.1792,2.1983,2.2153,2.2271,2.2402,2.2517,2.2612,2.2692
140,127,High variant,Qatar,634,2.1305,2.1816,2.2071,2.1577,2.1289,2.1201,2.1208,2.134,2.1488,2.1645,2.1831,2.1988,2.2152,2.2286,2.24,2.2511,2.2602
141,85,High variant,Republic of Korea,410,1.5726,1.7986,1.9633,2.0196,2.0651,2.103,2.1345,2.1628,2.1856,2.2044,2.2217,2.2348,2.247,2.257,2.265,2.2728,2.278
142,141,High variant,Republic of Moldova,498,1.4795,1.6424,1.8124,1.8764,1.935,1.9899,2.0379,2.0788,2.114,2.1434,2.1686,2.1903,2.2098,2.2248,2.2367,2.2478,2.2573
143,142,High variant,Romania,642,1.7898,1.9841,2.1204,2.1503,2.1774,2.1986,2.2155,2.2307,2.2416,2.2522,2.2603,2.2683,2.2742,2.2803,2.2839,2.2886,2.292
144,143,High variant,Russian Federation,643,2.0011,2.1895,2.3168,2.3367,2.3531,2.3653,2.3744,2.3805,2.3859,2.3894,2.3931,2.3959,2.3975,2.4006,2.4013,2.4008,2.4023
145,27,High variant,Rwanda,646,4.0313,3.8394,3.6548,3.4183,3.2121,3.0308,2.8708,2.7309,2.609,2.5019,2.4192,2.3532,2.3067,2.2746,2.2549,2.2433,2.2405
146,194,High variant,Saint Lucia,662,1.6942,1.8108,1.9189,1.9489,1.9857,2.0257,2.0617,2.0961,2.1283,2.1551,2.1779,2.1971,2.2145,2.2284,2.2413,2.2525,2.2621
147,195,High variant,Saint Vincent and the Grenadines,670,2.1519,2.2122,2.2506,2.2114,2.1905,2.1845,2.1871,2.1957,2.2038,2.2147,2.2253,2.2365,2.2462,2.2545,2.2636,2.2724,2.2801
148,240,High variant,Samoa,882,4.1529,4.0684,3.9666,3.7886,3.6287,3.4903,3.3646,3.2511,3.1494,3.0502,2.9583,2.8699,2.791,2.7152,2.6479,2.5846,2.5329
149,44,High variant,Sao Tome and Principe,678,4.6105,4.4783,4.3236,4.0967,3.8975,3.7223,3.5669,3.4327,3.309,3.2005,3.1034,3.0156,2.9314,2.8567,2.7821,2.7148,2.6519
150,128,High variant,Saudi Arabia,682,2.7308,2.6945,2.6429,2.5203,2.4196,2.3399,2.2839,2.2472,2.2254,2.2141,2.212,2.2164,2.2235,2.2312,2.2402,2.2493,2.2565
151,73,High variant,Senegal,686,4.8974,4.7316,4.5523,4.3048,4.0864,3.8941,3.7271,3.5764,3.4413,3.3212,3.2123,3.1094,3.0163,2.9311,2.8452,2.7688,2.6957
152,167,High variant,Serbia,688,1.87,2.0439,2.1657,2.1838,2.2016,2.2163,2.2303,2.2427,2.2523,2.2624,2.2692,2.2765,2.2837,2.2894,2.2928,2.2971,2.3019
153,28,High variant,Seychelles,690,2.5067,2.5522,2.5637,2.4949,2.4428,2.4043,2.3776,2.3583,2.3451,2.3371,2.3329,2.3297,2.3279,2.3283,2.3286,2.33,2.3304
154,74,High variant,Sierra Leone,694,4.569,4.2586,3.9701,3.6482,3.3972,3.1949,3.0316,2.8985,2.7798,2.6829,2.5995,2.5307,2.4732,2.4282,2.3936,2.365,2.3442
155,111,High variant,Singapore,702,1.5096,1.6834,1.8046,1.8228,1.8398,1.8535,1.8667,1.8797,1.8915,1.9011,1.9103,1.9182,1.928,1.9333,1.9386,1.9442,1.9491
156,144,High variant,Slovakia,703,1.7123,1.9212,2.0691,2.1098,2.1425,2.1698,2.1928,2.2118,2.2276,2.2402,2.2512,2.2611,2.2686,2.2769,2.2807,2.2856,2.2899
157,168,High variant,Slovenia,705,1.8876,2.0832,2.2201,2.248,2.2698,2.287,2.3013,2.3123,2.3204,2.3281,2.3345,2.3372,2.3414,2.3446,2.3482,2.3509,2.3534
158,232,High variant,Solomon Islands,90,4.0198,3.9184,3.804,3.6194,3.4591,3.3203,3.1914,3.0789,2.9722,2.8782,2.7884,2.7071,2.6338,2.5697,2.5129,2.4694,2.433
159,29,High variant,Somalia,706,6.3735,6.0615,5.728,5.326,4.9522,4.619,4.3295,4.0717,3.8497,3.6549,3.4889,3.341,3.2119,3.0967,2.9926,2.8934,2.8064
160,57,High variant,South Africa,710,2.6639,2.6958,2.6968,2.6103,2.5369,2.4765,2.4257,2.3874,2.3576,2.3378,2.3237,2.3121,2.3062,2.3017,2.2994,2.2991,2.3003
161,30,High variant,South Sudan,728,4.9859,4.7562,4.5107,4.2059,3.941,3.7152,3.5219,3.358,3.2173,3.0952,2.9877,2.8915,2.8038,2.7228,2.6533,2.5901,2.5377
162,169,High variant,Spain,724,1.6408,1.8424,1.9842,2.0213,2.054,2.0819,2.1053,2.1265,2.1441,2.1586,2.1718,2.1844,2.1937,2.202,2.209,2.2179,2.2247
163,102,High variant,Sri Lanka,144,2.2788,2.3613,2.4056,2.3625,2.3315,2.3091,2.2954,2.288,2.2855,2.2826,2.2859,2.2873,2.2895,2.2915,2.2953,2.2995,2.3034
164,129,High variant,State of Palestine,275,4.1597,4.0119,3.858,3.6405,3.4586,3.306,3.1731,3.0559,2.9477,2.8531,2.7648,2.6879,2.6192,2.5598,2.5105,2.4658,2.4305
165,50,High variant,Sudan,729,4.6845,4.5457,4.387,4.1535,3.9464,3.767,3.6109,3.471,3.3455,3.2357,3.1342,3.0401,2.9534,2.8751,2.8036,2.7301,2.6668
166,218,High variant,Suriname,740,2.5863,2.6247,2.6293,2.5467,2.4764,2.4218,2.3795,2.3505,2.329,2.3148,2.3066,2.2998,2.2983,2.2969,2.2977,2.2986,2.3006
167,58,High variant,Swaziland,748,3.264,3.1856,3.1005,2.9476,2.8206,2.7086,2.6129,2.5315,2.464,2.4105,2.3695,2.3388,2.3188,2.3026,2.2937,2.2877,2.2844
168,156,High variant,Sweden,752,2.1594,2.3139,2.418,2.4203,2.4224,2.4241,2.4256,2.4273,2.4293,2.4303,2.4307,2.4307,2.4305,2.43,2.4297,2.4295,2.4299
169,178,High variant,Switzerland,756,1.7988,1.969,2.0868,2.1018,2.1163,2.1285,2.1396,2.1487,2.1588,2.1663,2.1741,2.1811,2.1859,2.1907,2.1952,2.1994,2.2028
170,130,High variant,Syrian Arab Republic,760,3.0898,3.0275,2.9521,2.8018,2.6727,2.5635,2.4729,2.4011,2.3473,2.3086,2.2829,2.2682,2.2614,2.2574,2.2575,2.2607,2.2662
171,90,High variant,Tajikistan,762,3.5298,3.491,3.4277,3.2853,3.1577,3.0476,2.9453,2.8496,2.7604,2.6826,2.6121,2.5521,2.4968,2.4548,2.42,2.3933,2.3721
172,112,High variant,Thailand,764,1.7078,1.8143,1.9344,1.9738,2.0149,2.0535,2.088,2.12,2.1468,2.1715,2.1924,2.2118,2.2265,2.2406,2.2516,2.2614,2.2693
173,170,High variant,TFYR Macedonia,807,1.7957,1.9814,2.112,2.1383,2.1624,2.1827,2.2007,2.2184,2.2322,2.2439,2.2541,2.2636,2.2726,2.2774,2.2853,2.291,2.296
174,113,High variant,Timor-Leste,626,5.587,5.207,4.8329,4.4211,4.0727,3.784,3.543,3.3469,3.1769,3.0385,2.9149,2.8037,2.71,2.6233,2.555,2.4977,2.4516
175,75,High variant,Togo,768,4.6015,4.4492,4.285,4.0496,3.8493,3.6775,3.5222,3.3882,3.2607,3.1519,3.0494,2.9539,2.8683,2.7896,2.7101,2.6425,2.5822
176,241,High variant,Tonga,776,3.8263,3.7879,3.7218,3.5737,3.4458,3.3263,3.2191,3.119,3.0299,2.9441,2.8619,2.7855,2.7163,2.6512,2.5933,2.5433,2.5023
177,196,High variant,Trinidad and Tobago,780,1.9799,2.0888,2.1767,2.1747,2.1793,2.1884,2.1994,2.2109,2.2236,2.2339,2.2447,2.2544,2.2629,2.2701,2.2772,2.2851,2.2892
