,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
117,165,Momentum,Montenegro,499,2.08589,2.07612,2.07634,2.07651,2.07663,2.076715,2.076785,2.07682,2.076855,2.07686,2.076875,2.076875,2.07688,2.076875,2.07688,2.076875,2.076875
118,49,Momentum,Morocco,504,2.153235,2.153195,2.15314,2.15306,2.153,2.152925,2.15286,2.1528,2.152765,2.15271,2.15268,2.15265,2.15262,2.152605,2.15259,2.152575,2.15257
119,25,Momentum,Mozambique,508,2.465,2.46665,2.46814,2.469485,2.470685,2.4717,2.472615,2.47339,2.47405,2.47461,2.47509,2.47548,2.475765,2.47603,2.476205,2.476335,2.47641
120,109,Momentum,Myanmar,104,2.20489,2.20453,2.2043,2.204185,2.204155,2.204195,2.204285,2.204425,2.2046,2.204785,2.204985,2.2052,2.205415,2.20564,2.20585,2.20606,2.20627
121,56,Momentum,Namibia,516,2.21687,2.21352,2.21105,2.209285,2.20811,2.2074,2.207105,2.207135,2.20747,2.20803,2.208805,2.20975,2.21083,2.211995,2.21325,2.21456,2.21593
122,100,Momentum,Nepal,524,2.184545,2.18418,2.18435,2.184845,2.185555,2.18638,2.187305,2.188265,2.18928,2.190315,2.19133,2.19236,2.193355,2.194325,2.195265,2.19616,2.19698
123,177,Momentum,Netherlands,528,2.06911,2.06643,2.06645,2.066475,2.06649,2.066495,2.0665,2.066505,2.066505,2.066505,2.066495,2.0665,2.066505,2.066505,2.066505,2.066505,2.0665
124,230,Momentum,New Caledonia,540,2.09394,2.094425,2.09484,2.09518,2.09544,2.09563,2.095735,2.095795,2.095805,2.09578,2.095725,2.095655,2.095595,2.09551,2.09544,2.095365,2.09529
125,227,Momentum,New Zealand,554,2.078065,2.078265,2.078415,2.07854,2.07863,2.078685,2.078735,2.078765,2.078775,2.078775,2.078775,2.07877,2.078765,2.078755,2.078745,2.07873,2.078715
126,205,Momentum,Nicaragua,558,2.12403,2.12427,2.12468,2.125205,2.125765,2.12634,2.1269,2.127455,2.127965,2.12845,2.128905,2.12932,2.1297,2.130045,2.130355,2.13063,2.13088
127,71,Momentum,Niger,562,2.482565,2.48243,2.48233,2.48228,2.482255,2.482265,2.48232,2.48241,2.482555,2.482745,2.48298,2.48328,2.48362,2.484045,2.48452,2.485045,2.485645
128,72,Momentum,Nigeria,566,2.711045,2.711095,2.711185,2.71128,2.71141,2.71157,2.711785,2.712,2.71231,2.71264,2.71303,2.71349,2.713995,2.714585,2.71518,2.715865,2.716565
129,155,Momentum,Norway,578,2.072845,2.072845,2.07285,2.07285,2.07285,2.072845,2.072845,2.07285,2.07285,2.072855,2.07285,2.072845,2.07285,2.072845,2.07285,2.07285,2.072845
130,126,Momentum,Oman,512,2.090675,2.0907,2.090695,2.090645,2.09059,2.09053,2.090465,2.090405,2.090355,2.0903,2.09026,2.090235,2.09021,2.09018,2.090165,2.090155,2.090145
131,101,Momentum,Pakistan,586,2.33862,2.33767,2.33282,2.332345,2.332045,2.327755,2.327745,2.32785,2.32805,2.328325,2.328675,2.329065,2.3295,2.329975,2.330485,2.331005,2.331545
132,206,Momentum,Panama,591,2.10888,2.109005,2.109235,2.10952,2.10987,2.11026,2.11067,2.11109,2.111505,2.111925,2.11232,2.11271,2.11308,2.113415,2.11374,2.114045,2.114315
133,231,Momentum,Papua New Guinea,598,2.285955,2.286005,2.286005,2.28596,2.28591,2.285815,2.285705,2.2856,2.285475,2.285365,2.285255,2.28517,2.285095,2.28503,2.285,2.28498,2.28498
134,216,Momentum,Paraguay,600,2.157595,2.157425,2.1574,2.1575,2.157695,2.157975,2.158295,2.158665,2.159055,2.159455,2.15987,2.16028,2.160675,2.16108,2.16146,2.16182,2.16218
135,217,Momentum,Peru,604,2.136505,2.13664,2.13679,2.13696,2.137135,2.137325,2.13749,2.13766,2.13781,2.13796,2.1381,2.138215,2.13834,2.138445,2.13854,2.13864,2.138715
136,110,Momentum,Philippines,608,2.151965,2.152155,2.152365,2.152565,2.15277,2.152975,2.153165,2.153345,2.1535,2.15364,2.153755,2.153855,2.15394,2.15401,2.15406,2.154095,2.154115
137,140,Momentum,Poland,616,2.076265,2.07659,2.07685,2.07704,2.077185,2.077285,2.077335,2.07737,2.077385,2.07739,2.07739,2.077385,2.077385,2.077385,2.07738,2.07739,2.077385
138,166,Momentum,Portugal,620,2.07777,2.078105,2.07836,2.078535,2.078635,2.07869,2.07873,2.078735,2.07874,2.07874,2.078725,2.078725,2.078725,2.078725,2.078725,2.078725,2.07873
139,193,Momentum,Puerto Rico,630,2.075745,2.07625,2.0767,2.0771,2.077435,2.077735,2.07798,2.0782,2.07839,2.078545,2.07869,2.0788,2.0789,2.07899,2.079065,2.07913,2.0792
